_dataobs_,Race,Signs_Of_Mental_Illness,Body_Camera,Month,Region,REP_Armed_Category,REP_Mental_Illness,IMP_Age,_WARN_,F_Race,I_Race,_NODE_,P_Race0,P_Race1,Q_Race0,Q_Race1,V_Race0,V_Race1,R_Race0,R_Race1,U_Race
1,0,0,0,1,West,Gun,No,47,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
2,0,0,0,1,Midwest,Unarmed,No,23,,0,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,0.692307692,-0.692307692,1
3,0,0,0,1,West,Gun,No,39,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
4,0,0,0,1,Southwest,Gun,No,18,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
5,0,0,0,1,Southwest,Gun,No,22,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
6,0,0,0,1,Midwest,Gun,No,35,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
7,0,0,1,1,Midwest,Unarmed,No,34,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
8,1,0,0,1,Northeast,Toy Weapon,No,47,,1,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,-0.769980507,0.769980507,0
9,0,0,0,1,West,Sharp Weapon,No,25,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
10,0,0,0,1,West,Vehicle,No,17,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
11,1,0,0,1,Southwest,Gun,No,31,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
12,0,0,0,1,Midwest,Gun,No,30,,0,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,0.540880503,-0.540880503,1
13,1,0,1,1,Southeast,Gun,No,37,,1,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,-0.568093385,0.568093385,0
14,0,0,0,1,West,Undetermined,No,28,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
15,0,0,1,1,West,Blunt Weapon,No,42,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
16,1,0,0,1,Southeast,Unarmed,No,36,,1,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,-0.568093385,0.568093385,0
17,0,0,1,1,West,Gun,No,49,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
18,0,0,0,1,Southeast,Gun,No,71,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
19,0,0,0,1,West,Gun,No,23,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
20,0,0,0,1,West,Gun,No,29,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
21,0,0,1,1,Southwest,Gun,No,34,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
22,1,0,0,1,Midwest,Undetermined,No,24,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
23,0,0,0,1,Midwest,Undetermined,No,29,,0,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,0.540880503,-0.540880503,1
24,0,0,0,1,Northeast,Sharp Weapon,No,75,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
25,0,0,0,1,Southwest,Gun,No,68,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
26,0,0,1,1,West,Sharp Weapon,No,34,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
27,1,0,0,1,Midwest,Gun,No,27,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
28,1,0,0,1,West,Gun,No,39,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
29,0,0,0,1,Southeast,Gun,No,33,,0,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,0.431906615,-0.431906615,0
30,0,0,0,1,Southwest,Gun,No,41,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
31,0,0,0,1,West,Sharp Weapon,No,48,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
32,1,0,1,1,Southwest,Gun,No,21,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
33,0,0,0,1,West,Gun,No,24,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
34,0,0,0,1,Southwest,Sharp Weapon,No,27,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
35,0,0,0,1,Northeast,Sharp Weapon,No,49,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
36,1,0,0,1,Southwest,Undetermined,No,42,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
37,0,0,0,1,West,Gun,No,36,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
38,0,0,0,1,Southwest,Gun,No,36,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
39,1,0,0,1,Midwest,Gun,No,19,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
40,1,0,0,1,Southwest,Toy Weapon,No,25,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
41,1,0,0,1,Southeast,Undetermined,No,29,,1,1,71,0.459119497,0.540880503,0.459119497,0.540880503,0.457142857,0.542857143,-0.459119497,0.459119497,1
42,0,0,0,1,Southwest,Sharp Weapon,No,56,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
43,0,0,0,1,West,Gun,No,45,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
44,0,0,0,1,West,Gun,No,26,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
45,0,0,0,1,West,Gun,No,48,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
46,0,0,0,2,Northeast,Unarmed,No,59,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
47,1,0,0,2,Southeast,Unarmed,No,28,,1,0,70,0.621761658,0.378238342,0.621761658,0.378238342,0.612903226,0.387096774,-0.621761658,0.621761658,0
48,1,0,0,2,Midwest,Gun,No,23,,1,1,32,0.307692308,0.692307692,0.307692308,0.692307692,0.357798165,0.642201835,-0.307692308,0.307692308,1
49,1,0,0,2,West,Gun,No,38,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
50,0,0,0,2,Southeast,Gun,No,37,,0,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,0.431906615,-0.431906615,0
51,0,0,0,2,Southwest,Gun,No,28,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
52,0,0,0,2,Southwest,Unarmed,No,28,,0,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,0.266337855,-0.266337855,0
53,1,0,0,2,Southwest,Gun,No,51,,1,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,-0.806173726,0.806173726,0
54,1,0,0,2,Southeast,Sharp Weapon,No,36,,1,0,25,0.568093385,0.431906615,0.568093385,0.431906615,0.623762376,0.376237624,-0.568093385,0.568093385,0
55,0,0,0,2,West,Toy Weapon,No,59,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
56,1,0,0,2,Southwest,Gun,No,25,,1,0,5,0.733662146,0.266337855,0.733662146,0.266337855,0.727272727,0.272727273,-0.733662145,0.733662146,0
57,0,0,0,2,Southeast,Gun,No,43,,0,0,13,0.769980507,0.230019493,0.769980507,0.230019493,0.785714286,0.214285714,0.230019493,-0.230019493,0
58,0,0,0,2,West,Gun,No,33,,0,0,7,0.806173726,0.193826274,0.806173726,0.193826274,0.797945206,0.202054795,0.193826274,-0.193826274,0
